iter	Passed	Remaining
0	171	857232
1	226	566827
2	284	473421
3	309	386826
4	325	325643
5	384	320308
6	444	317309
7	498	311352
8	556	308343
9	566	282573
10	607	275677
11	665	276670
12	725	278184
13	788	280775
14	821	272969
15	862	268789
16	920	269857
17	982	271845
18	1042	273415
19	1076	267978
20	1134	268923
21	1151	260590
22	1183	256191
23	1235	256125
24	1244	247632
25	1298	248466
26	1354	249436
27	1371	243620
28	1387	237919
29	1404	232756
30	1464	234696
31	1541	239290
32	1613	242883
33	1639	239490
34	1702	241498
35	1771	244214
36	1788	239930
37	1853	242010
38	1914	243479
39	1976	245073
40	2002	242262
41	2021	238687
42	2047	236028
43	2110	237689
44	2166	238578
45	2225	239652
46	2236	235679
47	2261	233353
48	2279	230275
49	2338	231546
50	2398	232739
51	2455	233653
52	2466	230201
53	2526	231411
54	2585	232487
55	2644	233486
56	2703	234420
57	2725	232247
58	2785	233237
59	2843	234086
60	2903	235109
61	2957	235565
62	3014	236244
63	3076	237248
64	3135	238064
65	3153	235716
66	3215	236762
67	3278	237782
68	3340	238752
69	3400	239524
70	3463	240448
71	3473	237731
72	3530	238268
73	3556	236728
74	3590	235786
75	3652	236618
76	3712	237351
77	3755	236979
78	3813	237519
79	3842	236322
80	3903	237037
81	3962	237669
82	4027	238565
83	4060	237648
84	4089	236494
85	4151	237198
86	4209	237730
87	4233	236332
88	4301	237350
89	4366	238224
90	4429	238953
91	4473	238653
92	4538	239475
93	4594	239789
94	4651	240155
95	4718	241038
96	4781	241684
97	4841	242189
98	4903	242726
99	4965	243304
100	5030	244008
101	5099	244882
102	5158	245251
103	5230	246242
104	5289	246607
105	5301	244766
106	5336	244048
107	5395	244407
108	5456	244841
109	5517	245256
110	5579	245768
111	5616	245103
112	5676	245476
113	5730	245615
114	5797	246264
115	5864	246895
116	5924	247253
117	5984	247609
118	6052	248257
119	6113	248628
120	6174	248979
121	6184	247287
122	6243	247546
123	6276	246809
124	6294	245477
125	6353	245786
126	6416	246209
127	6476	246516
128	6539	246924
129	6606	247498
130	6669	247908
131	6728	248147
132	6788	248424
133	6835	248210
134	6899	248644
135	6962	249021
136	7023	249313
137	7085	249632
138	7146	249905
139	7207	250191
140	7267	250441
141	7345	251304
142	7364	250118
143	7420	250233
144	7484	250587
145	7540	250706
146	7602	250971
147	7662	251219
148	7730	251676
149	7785	251725
150	7844	251905
151	7906	252161
152	7970	252513
153	8034	252828
154	8097	253102
155	8161	253421
156	8224	253691
157	8290	254067
158	8350	254230
159	8412	254479
160	8473	254671
161	8534	254871
162	8594	255035
163	8654	255191
164	8717	255462
165	8777	255611
166	8837	255755
167	8896	255882
168	8956	256038
169	9018	256229
170	9082	256488
171	9143	256650
172	9204	256810
173	9266	257020
174	9309	256672
175	9369	256796
176	9426	256862
177	9488	257034
178	9552	257272
179	9570	256272
180	9631	256440
181	9691	256549
182	9718	255808
183	9780	255991
184	9843	256201
185	9905	256363
186	9963	256439
187	10025	256619
188	10090	256849
189	10151	256997
190	10210	257074
191	10271	257226
192	10306	256699
193	10367	256840
194	10427	256953
195	10484	256988
196	10546	257127
197	10607	257248
198	10680	257680
199	10740	257782
200	10804	257963
201	10867	258129
202	10926	258193
203	10985	258273
204	11045	258356
205	11114	258664
206	11176	258798
207	11240	258954
208	11298	258995
209	11362	259181
210	11427	259357
211	11488	259471
212	11579	260234
213	11639	260309
214	11701	260419
215	11760	260481
216	11817	260466
217	11876	260522
218	11937	260612
219	12000	260729
220	12064	260881
221	12126	261002
222	12195	261246
223	12239	260964
224	12298	261010
225	12357	261048
226	12418	261121
227	12486	261342
228	12527	260997
229	12584	260994
230	12641	260989
231	12698	260969
232	12772	261315
233	12843	261586
234	12905	261684
235	12967	261771
236	13036	262000
237	13105	262222
238	13169	262333
239	13230	262405
240	13296	262572
241	13361	262699
242	13397	262267
243	13459	262351
244	13520	262414
245	13580	262436
246	13640	262482
247	13690	262337
248	13748	262334
249	13810	262407
250	13869	262421
251	13930	262467
252	13987	262446
253	14049	262509
254	14108	262531
255	14168	262565
256	14227	262572
257	14283	262525
258	14345	262590
259	14406	262642
260	14466	262671
261	14525	262676
262	14544	261970
263	14561	261228
264	14627	261370
265	14646	260669
266	14719	260920
267	14779	260961
268	14840	261005
269	14903	261088
270	14961	261086
271	15003	260787
272	15061	260797
273	15129	260947
274	15188	260967
275	15225	260598
276	15291	260728
277	15351	260755
278	15378	260221
279	15437	260238
280	15498	260282
281	15559	260319
282	15589	259843
283	15647	259838
284	15707	259866
285	15764	259830
286	15790	259313
287	15854	259398
288	15878	258844
289	15938	258869
290	15997	258871
291	16065	259033
292	16125	259053
293	16186	259101
294	16252	259206
295	16312	259235
296	16331	258612
297	16348	257948
298	16365	257304
299	16424	257319
300	16486	257369
301	16547	257410
302	16608	257455
303	16665	257435
304	16682	256806
305	16756	257037
306	16822	257154
307	16881	257171
308	16940	257182
309	17003	257245
310	17066	257318
311	17094	256860
312	17112	256244
313	17173	256293
314	17243	256463
315	17287	256255
316	17346	256258
317	17407	256300
318	17466	256300
319	17529	256372
320	17591	256423
321	17652	256451
322	17714	256496
323	17777	256564
324	17815	256262
325	17877	256315
326	17940	256378
327	17974	256026
328	18035	256056
329	18053	255481
330	18114	255514
331	18175	255546
332	18236	255586
333	18296	255596
334	18358	255643
335	18416	255642
336	18477	255675
337	18543	255774
338	18611	255893
339	18639	255473
340	18657	254914
341	18716	254910
342	18775	254915
343	18834	254917
344	18901	255039
345	18964	255091
346	19024	255106
347	19083	255107
348	19145	255148
349	19173	254738
350	19206	254393
351	19270	254458
352	19331	254481
353	19393	254520
354	19435	254301
355	19495	254319
356	19556	254344
357	19613	254316
358	19680	254415
359	19740	254433
360	19802	254473
361	19863	254493
362	19923	254510
363	19985	254545
364	20045	254552
365	20112	254644
366	20183	254794
367	20245	254830
368	20315	254957
369	20377	254996
370	20436	254988
371	20495	254985
372	20557	255016
373	20625	255118
374	20684	255108
375	20750	255181
376	20817	255277
377	20837	254791
378	20857	254308
379	20909	254220
380	20974	254279
381	21035	254303
382	21101	254377
383	21153	254285
384	21211	254261
385	21246	253969
386	21304	253948
387	21353	253818
388	21409	253782
389	21468	253764
