ds,yhat,yhat_lower,yhat_upper
2014-09-26,11511.585898236064,10393.709789673658,12673.319920420294
2014-09-27,10392.31696555737,9228.549470124904,11645.184025522009
2014-09-28,10270.585764357174,8972.306077015155,11451.198000110715
2014-09-29,11894.54514430399,10675.057537218285,13076.817963714404
2014-09-30,12064.911093231894,10975.81007851251,13404.131722344266
2014-10-01,12029.79505971868,10828.424585692292,13156.149154730667
2014-10-02,11846.693087523756,10703.744050174486,12960.173426491725
2014-10-03,11653.19594860456,10530.530959090382,12751.21184238608
2014-10-04,10511.186804547011,9345.563901003112,11703.012560297111
2014-10-05,10368.984914891444,9230.95434618114,11534.392701637707
2014-10-06,11975.15257026713,10919.244606817245,13262.370091727407
2014-10-07,12130.731236424394,11027.239826326411,13364.400367136299
2014-10-08,12084.06687115184,10904.393324709745,13284.909985560002
2014-10-09,11892.794760623503,10705.555040999996,12996.538245794594
2014-10-10,11694.548129723276,10457.425018643124,12874.7391414193
2014-10-11,10551.15704504735,9458.21454374512,11706.668535564306
2014-10-12,10410.796040353276,9308.587431095239,11606.826731493737
2014-10-13,12021.797480026351,10876.683127439004,13306.002493647653
2014-10-14,12184.896416299911,10851.256449539538,13342.958407026541
2014-10-15,12148.066611534188,10948.9503133851,13403.468603457886
2014-10-16,11968.517730163663,10814.165614744477,13162.358361650104
2014-10-17,11783.417572248443,10616.987197897372,12915.658735528648
2014-10-18,10654.105455418618,9457.490585245341,11920.666895809887
2014-10-19,10528.254745888898,9311.47737017414,11687.47160666221
2014-10-20,12153.701120339652,11006.215034467381,13352.418185226814
2014-10-21,12330.701888103078,11134.851986132622,13607.363344418814
2014-10-22,12306.785638424399,11173.719592425208,13513.831003598953
2014-10-23,12138.761841399437,10988.631059507994,13301.834248981642
2014-10-24,11963.4539396813,10707.424768670808,13130.06509150901
2014-10-25,10841.921752590888,9686.565983366041,12081.524265016435
2014-10-26,10721.630965323842,9586.377569164464,11951.352440038318
2014-10-27,12350.286119737128,11127.557099606644,13548.882106491483
2014-10-28,12528.09233732387,11352.133180127488,13628.998387133235
2014-10-29,12502.605008415894,11318.384534821631,13711.868198738428
2014-10-30,12330.737113557776,11142.746117446794,13483.56977036392
2014-10-31,12149.487817343123,10936.32867007535,13349.083531141921
2014-11-01,11020.158321418397,9805.668516533176,12260.722675387115
2014-11-02,10890.512970723676,9689.400684690594,12053.759264810884
2014-11-03,12508.602299831711,11285.493909683559,13715.189321905409
2014-11-04,12675.013561010817,11556.396905229725,13869.898170195494
2014-11-05,12637.708310124914,11531.554729812298,13802.233995595845
2014-11-06,12454.017079291298,11187.082626448817,13625.86286086822
2014-11-07,12261.355149697742,11182.595513348688,13488.091907528036
2014-11-08,11121.425783825189,9954.717692363609,12293.306843002263
2014-11-09,10982.369272396849,9814.529054955377,12200.577603661955
2014-11-10,12592.574822903203,11400.90142989932,13820.569822166442
2014-11-11,12752.921140396027,11591.135260507315,13940.009697947175
2014-11-12,12711.605546864195,11566.759512054921,13916.375098542883
2014-11-13,12526.131891957417,11330.802776158142,13732.734873859754
2014-11-14,12334.021440551787,11253.683468391013,13515.037517828032
2014-11-15,11197.013212464986,9957.590501839395,12384.76735333289
2014-11-16,11063.212187380623,9902.110442747311,12168.747228388069
2014-11-17,12680.902400296924,11589.354387418976,13828.063584030237
2014-11-18,12850.790718659286,11636.746741153267,14066.833051116666
2014-11-19,12820.841032187891,11614.582438589789,13922.347665925678
2014-11-20,12648.268941563205,11486.787453186822,13898.334974619042
2014-11-21,12470.260918917584,11284.296599241006,13683.040371771414
2014-11-22,11348.184163800646,10203.909129278123,12596.105022267144
2014-11-23,11229.745284632616,9959.025236913927,12354.447442244576
2014-11-24,12862.814525185395,11727.948629557945,14108.444381766432
2014-11-25,13047.68100757012,11837.255378309072,14328.730913637104
2014-11-26,13031.898398620922,11791.191911629056,14178.397703285815
2014-11-27,12872.290766486409,11724.788389896594,14073.619084858297
2014-11-28,12705.682294590904,11592.976685838781,13888.921160482127
2014-11-29,11593.116793042465,10401.839997841553,12790.29563144611
2014-11-30,11482.02488355318,10256.234322749966,12652.93133384494
2014-12-01,13120.055359848995,11927.169971769234,14255.984222238732
2014-12-02,13307.336019221812,12139.807420576839,14572.881969330567
2014-12-03,13291.32324247701,12065.88948771946,14413.04817128168
2014-12-04,13128.810008019362,11926.087435430303,14328.39628507495
2014-12-05,12956.655976560833,11727.49905436802,14167.90778920128
2014-12-06,11836.00560575762,10729.927881225289,13076.375237982787
2014-12-07,11714.4522387229,10480.124068071627,12917.237454418602
2014-12-08,13339.864781809225,12053.794040309598,14428.461957887068
2014-12-09,13512.642422426552,12416.198776059471,14720.326245556153
2014-12-10,13480.556855428642,12374.275004048151,14661.277468943406
